"uuid","page_id","page_condition","rt","adjust_rt","scrolling_time","num_words","correct_rate","img_width","age","device","dyslexia","education","gender","language","retake","dyslexia_bin","english_native","Flesch_Kincaid","speed"
"01793098-f0e2-4ef8-a0eb-706a0584332d","1-1",1,150968,146860,4108,324,1,1438,31,"desktop",2,"graduate school",0,NA,0,1,NA,9.6,132.370965545417
"01793098-f0e2-4ef8-a0eb-706a0584332d","3-1",0,50526,50351,175,106,1,1438,31,"desktop",2,"graduate school",0,NA,0,1,NA,11.081,126.313280769002
"01793098-f0e2-4ef8-a0eb-706a0584332d","1-2",0,127301,125380,1921,383,1,1438,31,"desktop",2,"graduate school",0,NA,0,1,NA,10.485,183.282820226511
"01793098-f0e2-4ef8-a0eb-706a0584332d","2-2",1,61999,61999,0,166,0.666666666666667,1438,31,"desktop",2,"graduate school",0,NA,0,1,NA,7.638,160.647752383103
"01793098-f0e2-4ef8-a0eb-706a0584332d","3-2",1,57718,57718,0,120,1,1438,31,"desktop",2,"graduate school",0,NA,0,1,NA,10.697,124.744447139541
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd","2-2",1,49651,46697,2954,166,1,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",7.638,213.28993297214
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd","3-1",1,39816,38256,1560,106,1,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",11.081,166.24843161857
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd","1-2",1,86342,82355,3987,383,0.666666666666667,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",10.485,279.035881245826
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd","3-2",0,33937,30736,3201,120,0.666666666666667,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",10.697,234.252993232691
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd","1-1",0,131637,127958,3679,324,0.666666666666667,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",9.6,151.924850341518
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd","2-1",0,30180,29327,853,145,0.666666666666667,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",8.337,296.654959593549
"023c99b1-f32a-4d79-b5d7-197ac75591e2","3-2",0,83830,76018,7812,120,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",10.697,94.7144097450604
"023c99b1-f32a-4d79-b5d7-197ac75591e2","1-2",1,81450,78604,2846,383,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",10.485,292.351534273065
"023c99b1-f32a-4d79-b5d7-197ac75591e2","2-1",0,52182,51046,1136,145,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",8.337,170.434510049759
"023c99b1-f32a-4d79-b5d7-197ac75591e2","1-1",0,102320,98645,3675,324,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",9.6,197.070302600233
"023c99b1-f32a-4d79-b5d7-197ac75591e2","2-2",1,39728,38447,1281,166,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",7.638,259.057923895232
"023c99b1-f32a-4d79-b5d7-197ac75591e2","3-1",1,32643,30728,1915,106,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",11.081,206.977349648529
"025562fd-3b78-416d-b71d-1bab3f5fe6b6","1-2",1,54878,36774,18104,383,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",10.485,624.898025779083
"025562fd-3b78-416d-b71d-1bab3f5fe6b6","2-2",1,30389,22371,8018,166,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",7.638,445.21925707389
"025562fd-3b78-416d-b71d-1bab3f5fe6b6","3-1",0,14214,10663,3551,106,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",11.081,596.45503141705
"025562fd-3b78-416d-b71d-1bab3f5fe6b6","3-2",1,45841,33099,12742,120,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",10.697,217.529230490347
"025562fd-3b78-416d-b71d-1bab3f5fe6b6","1-1",0,59967,51411,8556,324,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",9.6,378.129194141332
"025562fd-3b78-416d-b71d-1bab3f5fe6b6","2-1",0,23230,20488,2742,145,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",8.337,424.638812963686
"026078fb-bbd3-403e-9003-57ef39309521","1-2",0,135114,20822,114292,383,0.666666666666667,880,24,"smartphone",1,"college",1,"English",0,1,"Y",10.485,1103.64038036692
"026078fb-bbd3-403e-9003-57ef39309521","1-1",1,131560,112545,19015,324,1,880,24,"smartphone",1,"college",1,"English",0,1,"Y",9.6,172.730907636945
"026078fb-bbd3-403e-9003-57ef39309521","2-2",1,64818,26211,38607,166,1,880,24,"smartphone",1,"college",1,"English",0,1,"Y",7.638,379.993132654229
"026078fb-bbd3-403e-9003-57ef39309521","3-2",1,64202,57300,6902,120,0.666666666666667,880,24,"smartphone",1,"college",1,"English",0,1,"Y",10.697,125.65445026178
"026078fb-bbd3-403e-9003-57ef39309521","3-1",0,64163,50322,13841,106,1,880,24,"smartphone",1,"college",1,"English",0,1,"Y",11.081,126.386073685466
"026078fb-bbd3-403e-9003-57ef39309521","2-1",0,82449,22356,60093,145,0.666666666666667,880,24,"smartphone",1,"college",1,"English",0,1,"Y",8.337,389.157273215244
