"participant","vis","rdirection","sign","visandsign","rbase","approach","jnd","condition"
"hsb4w7dw","scatterplot","positive",1,"scatterplotpositive",0.7,"above",0.297083333,"scatterplotpositive-0.7-above"
"hsb4w7dw","scatterplot","positive",1,"scatterplotpositive",0.5,"above",0.153333333,"scatterplotpositive-0.5-above"
"hsb4w7dw","scatterplot","positive",1,"scatterplotpositive",0.5,"below",0.053333333,"scatterplotpositive-0.5-below"
"hsb4w7dw","scatterplot","positive",1,"scatterplotpositive",0.7,"below",0.045,"scatterplotpositive-0.7-below"
"hscfajnp","line","negative",-1,"linenegative",0.8,"below",0.436666667,"linenegative-0.8-below"
"hscfajnp","line","negative",-1,"linenegative",0.5,"above",0.328333333,"linenegative-0.5-above"
"hscfajnp","line","negative",-1,"linenegative",0.8,"above",0.189583333,"linenegative-0.8-above"
"hscfajnp","line","negative",-1,"linenegative",0.5,"below",0.361666667,"linenegative-0.5-below"
"hrqiox83","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.5,"above",0.083333333,"parallelCoordinatesnegative-0.5-above"
"hrqiox83","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.8,"below",0.795,"parallelCoordinatesnegative-0.8-below"
"hrqiox83","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.5,"below",0.463333333,"parallelCoordinatesnegative-0.5-below"
"hrqiox83","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.8,"above",0.02625,"parallelCoordinatesnegative-0.8-above"
"hrs1cadb","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.4,"above",0.186666667,"parallelCoordinatespositive-0.4-above"
"hrs1cadb","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.7,"above",0.135,"parallelCoordinatespositive-0.7-above"
"hrs1cadb","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.4,"below",0.380416667,"parallelCoordinatespositive-0.4-below"
"hrs1cadb","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.7,"below",0.198333333,"parallelCoordinatespositive-0.7-below"
"hs2mn2gj","line","positive",1,"linepositive",0.6,"above",0.188333333,"linepositive-0.6-above"
"hs2mn2gj","line","positive",1,"linepositive",0.3,"below",0.128333333,"linepositive-0.3-below"
"hs2mn2gj","line","positive",1,"linepositive",0.3,"above",0.366666667,"linepositive-0.3-above"
"hs2mn2gj","line","positive",1,"linepositive",0.6,"below",0.18,"linepositive-0.6-below"
"hsi6jxm7","stackedline","positive",1,"stackedlinepositive",0.7,"above",0.225,"stackedlinepositive-0.7-above"
